Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
RS411-CTCF-1_S1_R1_001	75.0	82.5655060134	17.4344939866	51338707.0	3850403025.0	75.0	51338707.0	44.0
RS411-CTCF-2_S2_R1_001	75.0	83.1625518365	16.8374481635	49042415.0	3678181125.0	75.0	49042415.0	44.0
RS411-Rad21-1_S3_R1_001	75.0	81.7455502866	18.2544497134	50360285.0	3777021375.0	75.0	50360285.0	42.0
RS411-Rad21-2_S4_R1_001	75.0	81.3793157489	18.6206842511	49660987.0	3724574025.0	75.0	49660987.0	42.0
SEM-CTCF-1_S7_L001_R1_001	100.0	84.1560283144	15.8439716856	15228610.0	1522861000.0	100.0	15228610.0	47.0
SEM-CTCF-1_S7_L002_R1_001	100.0	83.7710925079	16.2289074921	16419991.0	1641999100.0	100.0	16419991.0	47.0
SEM-CTCF-2_S8_L001_R1_001	100.0	83.8214564175	16.1785435825	16444018.0	1644401800.0	100.0	16444018.0	47.0
SEM-CTCF-2_S8_L002_R1_001	100.0	83.6179044938	16.3820955062	17571892.0	1757189200.0	100.0	17571892.0	47.0
SEM-Rad21-1_S5_R1_001	75.0	78.8881976597	21.1118023403	44379186.0	3328438950.0	75.0	44379186.0	42.0
SEM-Rad21-2_S6_R1_001	75.0	79.3245646687	20.6754353313	47531517.0	3564863775.0	75.0	47531517.0	42.0
