Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
RS411-CTCF-1_S1_R1_001	17.4344939866	44.0	75.0	51338707.0
RS411-CTCF-2_S2_R1_001	16.8374481635	44.0	75.0	49042415.0
RS411-Rad21-1_S3_R1_001	18.2544497134	42.0	75.0	50360285.0
RS411-Rad21-2_S4_R1_001	18.6206842511	42.0	75.0	49660987.0
SEM-CTCF-1_S7_L001_R1_001	15.8439716856	47.0	100.0	15228610.0
SEM-CTCF-1_S7_L002_R1_001	16.2289074921	47.0	100.0	16419991.0
SEM-CTCF-2_S8_L001_R1_001	16.1785435825	47.0	100.0	16444018.0
SEM-CTCF-2_S8_L002_R1_001	16.3820955062	47.0	100.0	17571892.0
SEM-Rad21-1_S5_R1_001	21.1118023403	42.0	75.0	44379186.0
SEM-Rad21-2_S6_R1_001	20.6754353313	42.0	75.0	47531517.0
