Sample	avg_sequence_length	percent_dedup	percent_duplicates	seq_len_read_count	seq_len_bp	sequence_length	total_sequences	percent_gc
RS411-CTCF-1_S1_R1_001_trimmed	73.8612190385	82.5761059354	17.4238940646	51326190.0	3791014962.0	20-75	51326190.0	44.0
RS411-CTCF-2_S2_R1_001_trimmed	73.8630550889	83.1721551567	16.8278448433	49033381.0	3621755322.0	20-75	49033381.0	44.0
RS411-Rad21-1_S3_R1_001_trimmed	73.8347460148	81.7407940337	18.2592059663	50351052.0	3717657136.0	20-75	50351052.0	42.0
RS411-Rad21-2_S4_R1_001_trimmed	73.8343840097	81.3791385867	18.6208614133	49651510.0	3665988656.0	20-75	49651510.0	42.0
SEM-CTCF-1_S7_L001_R1_001_trimmed	99.7830716604	84.191076791	15.808923209	15222308.0	1518928650.0	20-100	15222308.0	47.0
SEM-CTCF-1_S7_L002_R1_001_trimmed	99.781656443	83.8024490898	16.1975509102	16413665.0	1637782682.0	20-100	16413665.0	47.0
SEM-CTCF-2_S8_L001_R1_001_trimmed	99.792861937	83.8853062062	16.1146937938	16432161.0	1639812374.0	20-100	16432161.0	47.0
SEM-CTCF-2_S8_L002_R1_001_trimmed	99.7918771651	83.6791848318	16.3208151682	17559707.0	1752316124.0	20-100	17559707.0	47.0
SEM-Rad21-1_S5_R1_001_trimmed	73.8613416622	78.8907787317	21.1092212683	44372795.0	3277434172.0	20-75	44372795.0	42.0
SEM-Rad21-2_S6_R1_001_trimmed	73.8587244137	79.3527428079	20.6472571921	47515938.0	3509466570.0	20-75	47515938.0	42.0
