Sample	fastqc_percent_duplicates	fastqc_percent_gc	fastqc_avg_sequence_length	fastqc_total_sequences
RS411-CTCF-1_S1_R1_001_trimmed	17.4238940646	44.0	73.8612190385	51326190.0
RS411-CTCF-2_S2_R1_001_trimmed	16.8278448433	44.0	73.8630550889	49033381.0
RS411-Rad21-1_S3_R1_001_trimmed	18.2592059663	42.0	73.8347460148	50351052.0
RS411-Rad21-2_S4_R1_001_trimmed	18.6208614133	42.0	73.8343840097	49651510.0
SEM-CTCF-1_S7_L001_R1_001_trimmed	15.808923209	47.0	99.7830716604	15222308.0
SEM-CTCF-1_S7_L002_R1_001_trimmed	16.1975509102	47.0	99.781656443	16413665.0
SEM-CTCF-2_S8_L001_R1_001_trimmed	16.1146937938	47.0	99.792861937	16432161.0
SEM-CTCF-2_S8_L002_R1_001_trimmed	16.3208151682	47.0	99.7918771651	17559707.0
SEM-Rad21-1_S5_R1_001_trimmed	21.1092212683	42.0	73.8613416622	44372795.0
SEM-Rad21-2_S6_R1_001_trimmed	20.6472571921	42.0	73.8587244137	47515938.0
